County,8,10,12,Totals,Smoked 8th,Smoked 10th,Smoked 12th
Apache,865,749,879,2493,22.49,34.454,92.295
Cochise,1532,1452,1378,4362,39.832,66.792,144.69
Coconino,1295,1494,1399,4188,33.67,68.724,146.89499999999998
Gila,617,545,561,1723,16.041999999999998,25.07,58.905
Graham,438,455,488,1381,11.388,20.93,51.239999999999995
Greenlee,124,132,120,376,3.2239999999999998,6.072,12.6
La Paz,181,185,138,504,4.7059999999999995,8.51,14.49
Maricopa,57329,56074,56108,169511,1490.5539999999999,2579.404,5891.34
Mohave,1860,1749,1728,5337,48.36,80.454,181.44
Navajo,1264,1406,1337,4007,32.864,64.676,140.385
Pima,11351,11702,12260,35313,295.126,538.292,1287.3
Pinal,3776,3456,3204,10436,98.176,158.976,336.42
Santa Cruz,741,848,763,2352,19.266,39.008,80.115
Yavapai,1976,1942,1787,5705,51.376,89.332,187.635
Yuma,2953,3026,3018,8997,76.77799999999999,139.196,316.89
